/* DATA DESCRIPTION:
Citation:	Prahl, Boris F; Boettle, Markus; Costa, Luis; Rybski, Diego; Kropp, Jürgen P (2017): Damage cost curves for European coastal city clusters at flood heights between 0.0 m and 12.0 m based on the EVRS2000 vertical datum [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.875259, 
	In supplement to: Prahl, Boris F; Boettle, Markus; Costa, Luis; Kropp, Jürgen P; Rybski, Diego (2018): Damage and protection cost curves for coastal floods within the 600 largest European cities. Scientific Data, 5(1), 180034, https://doi.org/10.1038/sdata.2018.34
Coverage:	MEDIAN LATITUDE: 49.309668 * MEDIAN LONGITUDE: 8.146498 * SOUTH-BOUND LATITUDE: 34.696196 * WEST-BOUND LONGITUDE: -22.600370 * NORTH-BOUND LATITUDE: 69.665872 * EAST-BOUND LONGITUDE: 39.743289
Parameter(s):	Identification (ID) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: Cluster ID
	Name (Name) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: of City
	Country (Country) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en)
	LATITUDE (Latitude) * GEOCODE * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en)
	LONGITUDE (Longitude) * GEOCODE * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en)
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 0.0 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 0.5 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 1.0 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 1.5 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 2.0 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 2.5 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 3.0 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 3.5 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 4.0 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 4.5 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 5.0 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 5.5 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 6.0 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 6.5 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 7.0 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 7.5 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 8.0 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 8.5 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 9.0 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 9.5 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 10.0 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 10.5 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 11.0 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 11.5 m flood height
	Damage cost [million EUR] (Damage cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 12.0 m flood height
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	17024 data points
*/
ID (Cluster ID)	Name (of City)	Country	Latitude	Longitude	Damage cost [million EUR] (0.0 m flood height)	Damage cost [million EUR] (0.5 m flood height)	Damage cost [million EUR] (1.0 m flood height)	Damage cost [million EUR] (1.5 m flood height)	Damage cost [million EUR] (2.0 m flood height)	Damage cost [million EUR] (2.5 m flood height)	Damage cost [million EUR] (3.0 m flood height)	Damage cost [million EUR] (3.5 m flood height)	Damage cost [million EUR] (4.0 m flood height)	Damage cost [million EUR] (4.5 m flood height)	Damage cost [million EUR] (5.0 m flood height)	Damage cost [million EUR] (5.5 m flood height)	Damage cost [million EUR] (6.0 m flood height)	Damage cost [million EUR] (6.5 m flood height)	Damage cost [million EUR] (7.0 m flood height)	Damage cost [million EUR] (7.5 m flood height)	Damage cost [million EUR] (8.0 m flood height)	Damage cost [million EUR] (8.5 m flood height)	Damage cost [million EUR] (9.0 m flood height)	Damage cost [million EUR] (9.5 m flood height)	Damage cost [million EUR] (10.0 m flood height)	Damage cost [million EUR] (10.5 m flood height)	Damage cost [million EUR] (11.0 m flood height)	Damage cost [million EUR] (11.5 m flood height)	Damage cost [million EUR] (12.0 m flood height)
001	Antwerp, Brussels, Ghent, Louvain	Belgium	50.98310	4.35072	130.896	278.076	444.161	1105.189	1730.505	2941.604	5029.809	8088.170	12247.597	18282.514	25225.875	34516.060	44259.240	55962.053	68466.494	81937.529	95614.990	110339.211	125071.310	139796.847	154274.083	168972.217	183049.061	196818.156	209491.338
002	London	United Kingdom	51.48843	-0.20368	1.942	103.819	217.430	329.901	484.095	726.809	1540.284	3295.079	4904.905	6557.195	8628.655	11072.773	13637.629	16424.519	19241.632	22853.169	26395.474	30711.618	34663.107	38934.337	43204.717	47569.307	52104.922	57148.202	61989.970
003	Liverpool, Manchester	United Kingdom	53.48601	-2.43174	0.000	33.352	63.544	94.810	127.667	156.214	187.790	216.429	246.853	290.038	344.222	384.003	432.669	480.830	535.260	596.381	667.988	752.743	852.832	965.002	1090.923	1238.794	1464.988	1685.453	1943.091
004	Istanbul	Turkey	40.99156	29.03468	0.588	52.825	123.506	204.806	400.431	540.450	703.468	895.245	1133.352	1389.810	1688.402	2005.510	2338.483	2701.967	3073.589	3488.545	3929.442	4363.051	4820.747	5269.045	5816.070	6292.248	6780.771	7273.039	7757.326
005	Hamburg	Germany	53.58154	10.01751	547.632	1304.657	2214.937	3528.520	5048.140	6760.646	8879.875	10887.524	12992.653	15124.146	17253.954	19460.009	21468.496	23317.317	25010.627	26494.400	27988.417	29163.193	30233.788	31137.270	31949.212	32729.755	33458.276	34168.859	40028.813
006	Athens	Greece	38.01626	23.73423	1.420	24.354	51.519	81.912	119.092	164.383	223.187	296.166	382.499	488.799	609.329	733.426	866.427	1077.395	1256.619	1450.485	1705.145	1933.821	2173.065	2478.808	2850.525	3172.837	3489.476	3830.956	4157.451
007	Copenhagen	Denmark	55.70268	12.46773	382.003	801.360	1408.206	2202.664	3576.391	4989.619	6816.487	8706.564	10923.794	13232.362	15665.985	18078.911	20567.629	23106.735	25413.234	27569.666	29809.322	31753.477	33750.440	35606.812	37391.227	39076.694	40913.350	42698.712	44428.552
008	Stockholm	Sweden	59.30948	18.04422	0.000	30.353	66.049	102.226	140.705	179.473	220.318	260.999	303.463	347.349	402.787	451.416	504.042	560.391	622.690	699.981	802.950	911.035	1046.111	1179.574	1360.184	1605.537	1824.285	2084.897	2575.269
009	Naples	Italy	40.85352	14.36066	0.001	101.407	185.735	280.120	387.088	510.658	651.971	846.113	1068.518	1307.056	1701.199	2059.291	2421.161	2838.394	3383.210	3867.450	4352.072	4838.198	5339.866	5891.105	6402.174	6927.987	7438.110	7953.532	8506.858
010	Helsinki	Finland	60.25335	24.91644	0.000	53.321	112.913	171.135	229.005	287.485	349.351	408.104	470.708	533.950	601.565	663.575	728.588	792.191	858.795	953.518	1038.283	1137.115	1244.656	1388.585	1569.401	1764.081	1991.564	2279.795	2675.717
011	Glasgow	United Kingdom	55.84640	-4.22532	0.108	12.087	46.604	79.506	116.285	157.378	210.346	267.140	330.744	415.403	531.047	684.795	863.533	1082.490	1385.625	1768.265	2379.835	3047.650	3831.731	4698.534	5608.244	6599.395	7600.400	8594.710	9563.943
012	Amsterdam	Netherlands	52.37763	4.79155	20065.435	25146.999	30262.484	35981.201	42103.520	48537.336	54897.319	60822.278	66411.852	71828.644	76661.241	81082.627	85088.682	88490.822	91440.923	93868.301	95897.571	97569.545	98987.136	100287.331	101339.914	102245.499	103037.049	103698.231	104274.690
013	Barcelona	Spain	41.47078	2.13499	0.839	38.327	74.290	121.907	186.918	295.667	393.927	493.122	609.418	743.429	911.075	1068.966	1248.615	1438.474	1676.036	2049.545	2373.639	2738.702	3111.697	3561.146	4010.490	4617.794	5177.201	5681.960	6179.961
014	Rotterdam	Netherlands	51.89067	4.47908	27826.715	34733.398	41476.994	48297.039	55158.116	61414.054	67313.597	72884.348	78090.047	82776.335	86981.383	90600.262	93726.437	96310.730	98480.590	100269.348	101761.473	102982.341	103977.932	104757.789	105368.739	105836.913	106196.178	106467.558	106672.965
015	Dublin	Ireland	53.33911	-6.27814	0.000	32.452	78.778	138.288	217.550	325.133	513.648	752.750	1190.673	1627.841	2129.576	2660.607	3222.214	3767.586	4323.401	4908.188	5575.906	6157.318	6742.835	7307.577	7872.643	8439.554	8989.000	9570.037	10148.259
016	Lisbon	Portugal	38.76976	-9.22662	0.102	14.680	34.343	59.018	88.877	123.664	168.678	221.051	283.795	363.799	449.115	546.369	657.424	794.376	933.727	1081.650	1240.368	1406.803	1572.126	1737.111	1906.395	2071.165	2240.220	2400.295	2561.283
017	Porto	Portugal	41.09668	-8.58927	0.001	10.598	22.964	34.942	51.291	70.482	91.992	116.999	147.440	186.525	231.917	283.267	348.138	418.457	494.599	586.197	687.758	799.051	913.629	1030.600	1150.274	1269.007	1390.219	1511.002	1633.271
018	Nice, Cannes	France	43.65701	7.09790	0.000	46.853	92.524	140.277	213.921	285.518	374.904	489.222	629.022	797.572	987.951	1223.936	1459.044	1716.861	1981.334	2380.441	2686.910	3004.384	3320.245	3632.444	3942.324	4254.335	4558.356	4860.175	5153.190
019	Sunderland, Newcastle upon Tyne	United Kingdom	54.95247	-1.53441	0.000	5.688	93.514	165.572	279.923	385.774	487.860	603.695	711.814	861.867	1033.787	1253.793	1489.786	1741.647	1997.460	2264.768	2537.867	2824.082	3116.190	3491.219	3813.349	4138.661	4497.251	4846.061	5218.189
020	Bremen	Germany	53.09071	8.77558	301.011	612.642	913.313	1299.769	2059.013	2721.396	3559.481	4695.282	5950.145	7559.815	10641.006	14123.424	17438.544	21161.272	25052.727	29051.626	32976.512	36866.042	40641.838	44126.067	47348.831	50231.030	52777.512	54988.710	56888.600
021	Oslo	Norway	59.90685	10.74151	0.000	21.899	50.842	81.179	113.778	146.428	181.113	216.763	255.518	298.585	347.900	400.952	460.093	523.814	592.492	666.380	748.198	841.397	968.960	1090.719	1221.390	1360.726	1508.864	1668.517	1836.402
022	Bordeaux	France	44.84219	-0.60646	0.000	0.000	0.000	0.000	1.404	27.955	57.241	394.055	884.855	1386.373	2070.787	2780.524	3585.316	4494.670	5396.903	6308.570	7200.990	8057.377	8869.627	9620.709	10333.789	11007.141	11660.945	12306.907	12907.959
023	Riga	Latvia	56.95079	24.13977	135.532	244.016	371.943	525.511	732.801	1040.705	1438.148	1815.899	2231.129	2671.817	3151.114	3611.376	4095.258	4589.667	5119.316	5595.592	6090.425	6716.490	7321.562	8806.143	9958.922	11081.209	12873.863	14283.856	15770.977
024	Gdansk, Gdynia	Poland	54.43150	18.54087	525.634	774.959	1037.489	1387.512	1767.827	2179.349	2602.997	3067.251	3513.366	3951.475	4370.948	4783.385	5162.528	5521.918	5864.902	6176.968	6466.395	6736.224	6991.629	7235.189	7469.773	7702.046	7931.627	8164.292	8393.424
025	Cardiff	United Kingdom	51.55577	-3.25237	0.000	12.288	23.790	36.825	49.874	63.762	90.961	119.175	146.388	176.245	206.573	243.699	281.563	361.086	452.566	654.716	901.787	1291.346	1752.157	2303.865	2893.954	3593.834	4264.707	4958.284	5633.045
026	Belfast	United Kingdom	54.61120	-5.89686	4.927	36.228	81.899	163.506	273.615	406.477	603.681	867.475	1260.344	1645.721	2113.623	2581.865	3042.879	3486.597	3911.837	4785.752	5279.681	5777.682	6254.601	6718.165	7221.597	7679.638	8136.336	8593.424	9052.528
027	Valencia	Spain	39.49010	-0.44424	15.140	61.765	136.159	263.227	385.704	579.195	776.866	1008.894	1259.963	1529.327	1813.356	2160.017	2472.521	2825.808	3170.739	3518.866	3903.610	4287.769	4665.995	5020.328	5354.459	5695.632	6013.457	6363.643	6705.000
028	Marseille	France	43.31994	5.43043	0.000	24.681	49.387	75.068	102.171	132.941	171.603	210.825	254.621	302.791	356.317	406.575	460.294	518.266	582.924	647.067	713.508	783.574	854.433	927.680	1001.452	1082.229	1160.881	1243.374	1331.911
029	Izmir (south)	Turkey	38.39823	27.16113	1.838	15.350	32.135	52.375	75.811	103.073	144.608	202.667	267.813	351.438	455.599	604.232	740.170	890.871	1055.272	1220.836	1392.885	1564.528	1739.052	1933.954	2128.351	2322.335	2508.564	2694.101	2882.172
030	Gothenburg	Sweden	57.69614	11.96501	1.633	34.533	73.456	120.423	185.617	281.279	465.299	732.179	1029.849	1388.976	1770.985	2176.459	2586.226	3203.996	3731.808	4252.173	4769.696	5268.315	5759.332	6403.061	6896.021	7395.381	7883.477	8427.878	8948.255
031	The Hague	Netherlands	52.05671	4.35770	13803.848	15619.926	17539.075	19797.839	22201.873	24945.100	28085.470	30932.573	33556.074	36173.721	38518.811	40752.594	42666.911	44413.459	46090.353	47501.986	48691.348	49687.138	50535.403	51245.902	51857.904	52382.962	52835.776	53214.195	53531.865
